id_Number,Name,ExposureTime
66053200803043147,Shiela Cardello,70
56248201204289956,Rosa Fite,70
55887198004123682,Douglas Snelling,70
46712201208108443,Mark Morales,67
73408199201225701,Charles Pigeon,67
46340195007067828,Ann Rice,66
77292201601056219,Jason Hodge,66
34874201708159662,Carol Simpson,63
69052196009141113,Jim Schmidt,62
46103194410079490,Donald Trapani,62
43701194910047279,John Keck,58
66471197302265808,Maribel Manigault,58
67656201804026445,Johnnie Moore,54
37656195501229467,Deborah Kazanjian,54
56163197505113563,Joshua Morrison,54
60281194207285554,Joanie Haig,54
85142198610268589,Todd Newton,52
16252194007258139,Alicia Fresh,51
73481195708225459,Joanna Sawyer,51
59707194901277372,Travis Sims,51
98839200902154032,Tracie Moreno,51
92220196404052275,Shelly Marrara,51
28301199512166254,Ok Champlin,50
21267197310146136,Jeanette Farmer,50
47479200402299966,Oliva Feldman,50
94236200108091655,Wilma Darby,50
29056196601016015,Dawn Bradley,50
17182194708208191,Peter Humphreys,50
44818196605169471,Paul Wynne,48
26387201110024422,Angela Reichard,48
72237199303086063,Jewell Harris,48
56526200105177470,Bobby Sweet,47
88503195610121206,Iliana Tomsic,47
91551200607092293,Valeria Duboise,47
54381196307172524,Karon Dews,47
67972197310262641,Michael Karge,47
69302193706099589,Nelson Gath,47
82607198904217782,Eva Bridges,46
22767196601147265,Laura Anderson,46
41026196603097586,Adam Showers,46
75687198101307784,Greg Medders,46
23227194910178250,Kenneth Clemons,46
45894194604166097,Darrel Rauf,46
10952201005118826,Rose Jackson,45
60010195109122524,Eduardo Stadther,45
84522193206051865,Michelle Thorpe,44
48345197511179616,Donald Doughtie,43
70985195311102766,Ervin Price,43
44735199302065401,Felicia Cousins,43
82322199703314002,Robert Macmillan,43
22312199702227311,Joel Wendell,43
56673195508267952,James Cronin,43
19033194912254651,Jack Noble,43
73503196601214578,Chris Meeks,43
88190195608096020,Christine Downs,43
39502198404225422,Allen Moses,42
44587200007105253,Bill Nash,42
50599201511097760,Kathleen Gauthier,42
20286196509259784,Howard Gordon,42
80507197103158203,Dennis Meyers,42
18392194106195775,Karen Hughes,42
29462194505154301,Anthony Mitchell,42
87062198007082075,Gustavo Poll,41
26308201612243008,Marion Loftin,41
81955200912019510,Gene Martin,41
41356201206026234,Luz Marrero,41
94593197608168704,Adam Mayo,41
44649196010139478,Diane Streeter,40
91907195901135806,Doyle Poe,40
61110198407138649,Harold Dow,40
31097201710015131,Angie Luna,39
95968199704028431,Bernadette Winkelman,39
32158200310235371,Henry Figueroa,39
29504193710246077,Ashton Hewitt,39
77233198709261781,Pearl Santiago,39
24693199704048387,Dominick Smith,39
40855196004086343,Victoria Schwenke,39
31707199901245837,Dawn Sessions,39
98101196601237327,Deborah Raio,39
12141197412027042,Jorge Gomez,39
10452197102102661,Olive Mcdaniel,39
18879195810111121,John Saunders,38
48697200802121136,Julie Webster,38
19614193702089766,David Conrad,38
67459201308061724,Thelma Acevedo,38
30210200508225800,Steven Jacobsen,38
92634196511098757,Gretchen Hutson,38
79883200108238810,Sharon Talmadge,38
24080201003011819,Lindsay Green,38
10553196106227158,Casey Barrett,37
94687196211079098,Edward Watkins,37
55339193007095986,Robert Melanson,37
53954201907256246,Dennis Nadeau,37
91370197909216423,Arthur Loney,37
94964198709214404,Kelley Mason,37
54138193002066540,Donald Vetter,37
63414197312137655,Joseph Caruthers,37
30991198407022031,Michael Scott,37
74256194612282689,Earlie Bivens,37
57311193005078258,Elsie White,36
53426200110273989,Nadine Ledbetter,36
57595196307124323,Michael Saum,36
76597197304306830,Kenneth Walker,36
43436198512298678,Rita Schmidt,36
21828193608025769,Anna Brawley,36
35685193306051881,Connie Goudreau,36
73429196806069489,Edward Duran,36
61853193105102824,Sharon Mehta,35
39371200103128331,Steven Gulledge,35
20922194710201144,Aaron Benda,35
69246193111297206,Doris Larsen,35
43709198708023851,Jacob Collins,35
63205193105229948,Alfredo Johnson,35
