Name,id_Number,row_Number,seat_Number,auditorium_Number,score,test_result
"Abraham Rousseau",95649197005095374,52,27,2,70.5164,False
"Alex Lindelof",49906196206064667,25,49,3,69.1074,False
"Allan Tecuanhuey",40878197002094486,15,6,3,77.3446,False
"Alma Buerger",46986196810186491,30,34,1,72.2574,False
"Anabel Butler",78196201202289470,7,50,5,66.1154,False
"Andrew Jackson",37939193710081560,21,9,6,62.0301,False
"Antony Wegner",57807200006063498,7,24,6,76.0034,False
"Austin Jackson",20726194904035010,34,14,3,72.224,False
"Barbara Holley",39503198603275275,36,17,3,85.2616,False
"Betty Zink",65010194601265474,29,43,4,69.6403,False
"Bonnie Powell",74437201904049406,6,4,6,62.5718,False
"Booker Gilford",59370194704214160,7,26,1,77.099,False
"Bradley Parnell",90975198210164278,47,35,4,79.0004,False
"Brandon Harter",43883199808285248,10,6,2,82.2196,False
"Bryon Hardin",30667194101071893,23,2,2,67.7755,False
"Byron Addington",37759196307192701,14,16,6,70.1601,False
"Carla Gilbert",96366195702265973,61,17,2,70.23,False
"Carlos Howard",16529201810045083,40,5,6,79.2829,False
"Carolyn Hsieh",22462195805119877,28,45,1,74.4948,False
"Cathy Lambert",32616201204269830,38,52,4,78.4582,False
"Cecilia Foor",86103201101237430,51,60,2,78.5282,False
"Charles Chol",43177194907088705,34,57,4,64.0407,False
"Charles Nealey",10319201008255893,25,7,4,78.3792,False
"Christina Hamilton",61699199907036692,4,31,6,70.7191,False
"Christopher Blount",54428199311218398,16,32,6,88.2186,False
"Cindy Guzman",55029194903151864,18,31,5,75.3857,False
"Clayton Smith",48172197303117702,31,9,1,70.2225,True
"Darrel Rauf",45894194604166097,64,57,2,63.188,False
"David Gonzales",64415195912115549,48,12,5,61.4708,False
"Deanne Hill",48129200102065998,12,54,3,70.9853,False
"Don Stone",10547194307156189,14,32,5,65.127,False
"Dorothy Foxx",80500199710304821,32,8,6,83.1924,False
"Douglas White",35844199601106644,31,21,4,84.1952,False
"Elizabeth Chao",13102200401121719,59,17,2,78.6152,False
"Elizabeth Eaton",63228193306248308,37,43,1,60.923,False
"Elizabeth Tallman",18693194610273692,14,37,5,71.0921,False
"Enda Yocum",98549201409134288,17,48,6,81.8374,False
"Ester Bean",70958195010011254,29,4,6,62.4277,False
"Florence Hancock",35240197901219786,48,9,4,65.7726,False
"Freddy Carr",63615198910236064,39,18,5,76.0358,False
"Gary Johnson",27434198710042430,8,28,5,78.7206,False
"Gary Monroe",39744195005056184,20,48,3,57.8415,False
"Grace Smith",44497193308167348,24,34,1,60.1296,False
"Gregory Dingell",95399196404113832,40,4,4,49.2689,False
"Gregory Woods",27215199211122658,12,25,1,84.4323,False
"Harry Powell",11289201602218199,51,52,6,84.0566,False
"Herman Briney",80181198305056877,57,49,4,75.2618,False
"Howard Holland",17168196412046631,30,51,2,74.973,False
"James Franklin",98686193208286862,45,2,3,54.8811,False
"James Hall",59267199510151534,7,56,4,79.6029,False
"James Mendoza",17724201101034383,46,42,1,71.9499,False
"James Naquin",89775200205253163,9,8,4,77.484,False
"Jason Alvarado",57236200410196737,15,18,6,91.013,False
"Jean Butler",30043199309142530,16,11,6,77.6147,False
"Jeffery Merida",46725199604048393,20,31,3,87.2279,False
"Jesse Pritchett",51363196012277781,52,36,2,78.6259,False
"Jessica Hotchkiss",42970200107223039,52,32,3,80.0673,False
"Jesus Mooney",88022195402018325,7,38,2,68.0301,False
"John Session",91496200303132281,49,30,6,64.8319,False
"Johnathan Montgomery",23906197508097770,21,26,1,63.0442,False
"Johnny Martinez",51875195907052913,7,40,1,71.1107,False
"Joseph Hughes",66970201609118465,22,40,3,80.8422,False
"Joyce Miller",25296194803317985,57,40,4,67.2364,False
"Joyce Simpson",76016194609274113,9,17,2,75.4071,False
